bookName, fight, honor, dead, pride, greed, lead, friend, love, justice, trick, smart, plot, sad, husband, steady, courage, skill, dedication, grace, charm, coward, devoted, fate, future, tired, old, king, beauty, wife, white
Moby Dick.txt, 0.00029464015020849005, 0.0007896584562034857, 0.0009408456027826166, 0.00022194122416987214, 0.0, 0.0010308096199486143, 0.00023512042287892533, 0.00015804961357015687, 0.00016696275178481102, 0.0008328369805886924, 0.00013160974270058097, 0.0, 0.00020549261758130588, 6.437635373016496e-05, 0.0014625738062418482, 0.00048723951513027393, 0.0006543899626558288, 0.0005235119701246629, 0.00025686577197663236, 0.00023989673488327388, 0.0006678510071392441, 0.00011310917315524214, 0.00013258806759382054, 0.00041916928875177975, 0.0, 0.002005664144110683, 0.00019841325593850854, 0.00018367093764500654, 0.00017357631920651888, 0.0022677937984222508
Ulysses.txt, 0.00033506518105620785, 0.0, 0.000921579139927, 0.0002523918631174109, 0.0008805538041806232, 0.0005233205835063358, 0.00042971667730943517, 0.0009147188812682372, 0.0011527837776814768, 0.0011275039896479454, 0.0018173823172919815, 0.0008694613577546104, 0.0007302702664045555, 0.0008889649392226874, 0.00014850365438803752, 0.00019788908634983822, 0.00031893135381314794, 0.00042524180508419726, 0.0008763243196854665, 0.00012990994972063524, 0.0, 4.593853790264101e-05, 4.7866454436601114e-05, 0.0005296443193480964, 0.00020932823340253433, 0.0017724812852374936, 0.00021630502070968353, 0.0005967738315291681, 0.001151448825134484, 0.0009788273624362729
FoxTales.txt, 0.0005077003356272535, 0.0022677937984222508, 0.0014304616544706904, 0.0007648627243831801, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022677937984222508, 0.0, 0.0022130527450418738, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008852210980167495, 0.0, 0.0, 0.0, 0.0, 0.0008025322053710742, 0.0013321565042443925, 0.00208, 0.0011696231695910307, 0.0009042487602138962, 0.00024924402262594737, 0.0001441948653113413
The Brothers Karamazov.txt, 0.00010852750180143421, 0.0012119255113327747, 0.000475657229808185, 0.0005994973698764579, 0.0, 0.0008701172719178424, 0.00025259516381880465, 0.0021952230524433713, 0.0011274801576037887, 0.0008521290655283005, 0.0003231801363554066, 0.000985663866068991, 9.461371951919906e-05, 0.00023712331264006138, 0.0, 3.738945577527166e-05, 0.0, 0.0003213832547972706, 6.307581301279938e-05, 2.4545377460890113e-05, 0.00040999278458319597, 0.0003819065839902747, 0.00017183521118560417, 0.000829166166310436, 3.9550785087174666e-05, 0.0012654764347766606, 3.2054109465658243e-06, 0.0003382659831328918, 0.0004262330231649691, 0.00019521558993686045
The Adventures of Sherlock Holmes.txt, 0.00012034463904389327, 0.0, 0.00031081856975531273, 0.0002719531247806847, 0.0, 0.001184147535488601, 0.0014705211570753066, 0.0003227737917366034, 0.0008524411932275773, 0.0022677937984222508, 0.0002687774726009608, 0.0021859779357625182, 0.00026228959791617764, 0.0009202996151399628, 0.0, 0.0, 0.0013364153492664973, 0.0, 0.00031474751749941315, 0.00016330816843816248, 0.0, 0.0004619900786192515, 0.00015043079880486658, 0.0005706936265296636, 2.631438967752447e-05, 0.0006352637766905601, 0.0002239294470781116, 0.00021434197107508823, 0.00106344872550609, 0.00042724708356842026
War and Peace.txt, 0.0006289981326685853, 0.0014048031529491295, 0.00024790010265350186, 0.00020305730634409482, 0.0, 0.000957838940636952, 0.00036412720709068895, 0.0013255176684859986, 0.0003818917234059268, 0.0004233193683863966, 0.0006522300352978102, 0.0004080471512521925, 0.0004993968690692889, 0.00093256556085331, 0.0002787771651178136, 0.00041792121930372354, 0.00034924811185468315, 0.0, 9.79209547194684e-05, 0.00033532441018246993, 0.00025459448227061783, 0.00043118855959907974, 0.0002864187925544451, 0.0009410056212426976, 0.00011788786961685566, 0.0014176740234686112, 9.355227370172216e-05, 0.0003400875410089254, 0.0007223537407302327, 0.0005742171765995608
Grimms_ Fairy Tales.txt, 0.00018727327135754405, 0.0, 0.0006449035128798742, 9.40438906464471e-05, 0.0, 0.0004094891037805028, 0.0004047401970791933, 0.000334854433440643, 0.0, 0.0005881679576935511, 0.0008365114883569677, 0.0022677937984222508, 0.00027210646265626057, 0.0012957242741649586, 0.0, 0.00025807451866438554, 0.0005545736563211353, 0.0, 0.0, 0.0002541305968076309, 0.0, 0.0, 9.363663567877203e-05, 9.867555125402976e-05, 0.00035489055660976914, 0.0019181019643331398, 0.0022677937984222508, 0.00016677320415500776, 0.0022677937984222508, 0.0013651727556944608
Great Expectations.txt, 6.79889031828017e-05, 0.0007592313919243146, 0.00041504855568022287, 0.00035849419280353675, 0.0, 0.0010406450627294132, 0.0004069094026078024, 0.0005242608164408965, 0.00038527045136920964, 0.0, 0.0009110776703091776, 0.0, 0.00011854475426744911, 0.0002599623960403396, 0.0008437308089199232, 0.00028107914177333395, 0.0001510020130770431, 0.0, 0.00035563426280234734, 4.613061014231492e-05, 0.0, 0.0003915030903271437, 3.399445159140085e-05, 5.37357182801962e-05, 0.0001337972223509246, 0.0016123416450170072, 6.024252955879148e-05, 0.0001513660645294708, 0.00023364332409963725, 0.00043447310570013376
A Tale of Two Cities.txt, 0.00013847782745895582, 0.0, 0.0007153036581532663, 0.0007649406092452123, 0.0, 0.0006055873435497033, 0.0007827378733345207, 0.0006344894011671732, 0.0003923538444670415, 0.0, 0.0, 0.0016769032550878, 0.00016096567978135035, 0.0020675084591432924, 0.0020049008670746677, 0.0004770782077989291, 0.001435263777250153, 0.0, 0.00024144851967202553, 6.26383264799184e-05, 0.0, 0.0006202016701386077, 0.00011539818954912986, 0.0002918596094769919, 6.055873435497034e-05, 0.0011637548550397859, 0.00012270023817715609, 0.00012331920525733933, 0.0010650601755287379, 0.00039329876854190957
The Prince .txt, 0.0014039820632465979, 0.0001900394357982257, 5.993581205128391e-05, 0.0, 0.001173987618587119, 0.000837252941507527, 0.0005092573497032675, 0.0002139539983990744, 0.0, 0.0, 0.0, 0.0, 0.00011127130571185158, 0.0, 0.0, 0.0021106656844839247, 0.0022677937984222508, 0.0022677937984222508, 0.00044508522284740634, 0.0001732008558468698, 0.0, 0.000979951924938965, 0.000127634733022418, 0.0008070192323026771, 5.5816862767168474e-05, 0.0004826837214914927, 0.001244018170402567, 0.0, 0.00012531878375062716, 0.0
